钢支架编号,实测长度(mm),安装位置,施工难度,备注
ZJ001,2350,站台A区-1号位,中等,标准安装
ZJ002,1420,站台A区-2号位,简单,直线段
ZJ003,2680,站台B区-1号位,困难,弯道处
ZJ004,2180,站台B区-2号位,中等,标准安装
ZJ005,2950,站台C区-1号位,困难,高度受限
ZJ006,1850,站台C区-2号位,简单,直线段
ZJ007,2560,站台D区-1号位,中等,标准安装
ZJ008,1320,站台D区-2号位,简单,直线段
ZJ009,1180,站台E区-1号位,简单,直线段
ZJ010,1210,站台E区-2号位,中等,标准安装
ZJ011,2850,站台F区-1号位,困难,管线密集
ZJ012,2030,站台F区-2号位,中等,标准安装
ZJ013,1190,站台G区-1号位,简单,直线段
ZJ014,1390,站台G区-2号位,中等,标准安装
ZJ015,1430,站台H区-1号位,简单,直线段
ZJ016,1580,站台H区-2号位,中等,标准安装
ZJ017,1940,站台I区-1号位,中等,标准安装
ZJ018,1040,站台I区-2号位,简单,直线段
ZJ019,1370,站台J区-1号位,中等,标准安装
ZJ020,2240,站台J区-2号位,困难,空间受限

